# frequency (Hz), effective injected noise temperature at LNA (K)
5.045000000000000000e+09,1.934647047304842715e+01
5.044000000000000000e+09,1.920952650702204778e+01
5.043000000000000000e+09,1.916267323827331381e+01
5.042000000000000000e+09,1.916206005807747204e+01
5.041000000000000000e+09,1.945899554957608757e+01
5.040000000000000000e+09,1.960640988936039264e+01
5.039000000000000000e+09,1.958565324507681282e+01
5.038000000000000000e+09,1.943560855390566644e+01
5.037000000000000000e+09,1.955250211047739128e+01
5.036000000000000000e+09,1.959889638833351455e+01
5.035000000000000000e+09,1.957631033980044322e+01
5.034000000000000000e+09,1.963145872078433740e+01
5.033000000000000000e+09,1.967950350126659487e+01
5.032000000000000000e+09,1.984672249237195274e+01
5.031000000000000000e+09,1.997043446280649448e+01
5.030000000000000000e+09,1.962716524404976326e+01
5.029000000000000000e+09,1.963816893273012454e+01
5.028000000000000000e+09,1.974642502381072973e+01
5.027000000000000000e+09,2.009787975962488815e+01
5.026000000000000000e+09,2.008644843476184860e+01
5.025000000000000000e+09,1.989779774880777552e+01
5.024000000000000000e+09,1.987859073121403242e+01
5.023000000000000000e+09,1.970827941877907108e+01
5.022000000000000000e+09,1.980194521654156858e+01
5.021000000000000000e+09,1.949822433355173246e+01
5.020000000000000000e+09,1.947082655505327864e+01
5.019000000000000000e+09,1.964036308712118739e+01
5.018000000000000000e+09,1.965169956894182235e+01
5.017000000000000000e+09,1.963304861369603316e+01
5.016000000000000000e+09,1.955357802695857572e+01
5.015000000000000000e+09,1.950354807873965512e+01
5.014000000000000000e+09,1.964952870028285759e+01
5.013000000000000000e+09,1.957412998828290540e+01
5.012000000000000000e+09,1.946119633245429270e+01
5.011000000000000000e+09,1.939162817861301846e+01
5.010000000000000000e+09,1.936235710366594276e+01
5.009000000000000000e+09,1.917971700518444322e+01
5.008000000000000000e+09,1.901114330605039981e+01
5.007000000000000000e+09,1.912956016895920186e+01
5.006000000000000000e+09,1.916682012240879374e+01
5.005000000000000000e+09,1.907462913961303741e+01
5.004000000000000000e+09,1.921046183223663206e+01
5.003000000000000000e+09,1.940009684665839984e+01
5.002000000000000000e+09,1.946839326641023149e+01
5.001000000000000000e+09,1.963574476464310692e+01
5.000000000000000000e+09,1.957861135689522314e+01
4.999000000000000000e+09,1.963420216871095647e+01
4.998000000000000000e+09,1.964489416988487847e+01
4.997000000000000000e+09,1.973427265314273882e+01
4.996000000000000000e+09,1.995992812812656325e+01
4.995000000000000000e+09,1.997321669627768870e+01
4.994000000000000000e+09,2.004317657990266355e+01
4.993000000000000000e+09,1.999676292400432942e+01
4.992000000000000000e+09,1.994153137433121969e+01
4.991000000000000000e+09,1.992778373022838423e+01
4.990000000000000000e+09,1.972624647592755309e+01
4.989000000000000000e+09,1.978438493836505074e+01
4.988000000000000000e+09,1.999568230243333744e+01
4.987000000000000000e+09,1.997847054084225249e+01
4.986000000000000000e+09,1.983334327211380810e+01
4.985000000000000000e+09,2.000638923399490920e+01
4.984000000000000000e+09,1.994756737395465507e+01
4.983000000000000000e+09,1.988959138680813510e+01
4.982000000000000000e+09,1.969246725895176553e+01
4.981000000000000000e+09,1.974335815438487884e+01
4.980000000000000000e+09,1.977664741657582681e+01
4.979000000000000000e+09,1.953206812002254367e+01
4.978000000000000000e+09,1.919446706468225727e+01
4.977000000000000000e+09,1.927360169193920569e+01
4.976000000000000000e+09,1.906426458843537830e+01
4.975000000000000000e+09,1.912665052616628714e+01
4.974000000000000000e+09,1.903756042863908249e+01
4.973000000000000000e+09,1.911276728566765826e+01
4.972000000000000000e+09,1.890953258384674029e+01
4.971000000000000000e+09,1.908672996883596795e+01
4.970000000000000000e+09,1.899243057393304923e+01
4.969000000000000000e+09,1.917900008103802634e+01
4.968000000000000000e+09,1.921388267607828482e+01
4.967000000000000000e+09,1.916860318078795444e+01
4.966000000000000000e+09,1.925007158195599288e+01
4.965000000000000000e+09,1.928990982355921346e+01
4.964000000000000000e+09,1.945432371822313655e+01
4.963000000000000000e+09,1.954027866455736273e+01
4.962000000000000000e+09,1.966084754417325087e+01
4.961000000000000000e+09,1.985894667233596067e+01
4.960000000000000000e+09,1.992261475776747659e+01
4.959000000000000000e+09,2.009139268046072857e+01
4.958000000000000000e+09,2.002869466027438250e+01
4.957000000000000000e+09,1.990562879711279720e+01
4.956000000000000000e+09,1.983923692487171309e+01
4.955000000000000000e+09,2.004581578206918380e+01
4.954000000000000000e+09,2.008039694396576635e+01
4.953000000000000000e+09,2.015437485472328660e+01
4.952000000000000000e+09,2.000714875822815486e+01
4.951000000000000000e+09,1.959141506745378081e+01
4.950000000000000000e+09,1.957729565060557775e+01
4.949000000000000000e+09,1.972625352771731855e+01
4.948000000000000000e+09,1.972895122577274662e+01
4.947000000000000000e+09,1.980551998780011047e+01
4.946000000000000000e+09,1.945287374603647379e+01
4.945000000000000000e+09,1.929058745434532796e+01
4.944000000000000000e+09,1.929470659266964105e+01
4.943000000000000000e+09,1.907518971342403802e+01
4.942000000000000000e+09,1.933079355887340967e+01
4.941000000000000000e+09,1.925900405638559221e+01
4.940000000000000000e+09,1.931456392183436321e+01
4.939000000000000000e+09,1.912238596134882584e+01
4.938000000000000000e+09,1.909214605863908787e+01
4.937000000000000000e+09,1.904919177008250131e+01
4.936000000000000000e+09,1.920092332669091206e+01
4.935000000000000000e+09,1.924184433428696650e+01
4.934000000000000000e+09,1.921942398963012977e+01
4.933000000000000000e+09,1.947253798972963068e+01
4.932000000000000000e+09,1.959378470538693762e+01
4.931000000000000000e+09,1.969999166517204969e+01
4.930000000000000000e+09,1.945741256199880809e+01
4.929000000000000000e+09,1.948875051703592476e+01
4.928000000000000000e+09,1.962602527098117378e+01
4.927000000000000000e+09,1.976756642334864011e+01
4.926000000000000000e+09,1.976441783509049799e+01
4.925000000000000000e+09,1.951719875294629958e+01
4.924000000000000000e+09,1.952777556248967983e+01
4.923000000000000000e+09,1.948613507086281516e+01
4.922000000000000000e+09,1.941721835048889488e+01
4.921000000000000000e+09,1.922879973297629874e+01
4.920000000000000000e+09,1.919135978536192511e+01
4.919000000000000000e+09,1.907364359914878094e+01
4.918000000000000000e+09,1.910291471328885393e+01
4.917000000000000000e+09,1.904382097854572464e+01
