# frequency (Hz), effective injected noise temperature at LNA (K)
6.550000000000000000e+09,3.819517339638380804e+00
6.551000000000000000e+09,3.729145698454601643e+00
6.552000000000000000e+09,3.624259108745818025e+00
6.553000000000000000e+09,3.603552146380735621e+00
6.554000000000000000e+09,3.590076985700576984e+00
6.555000000000000000e+09,3.620796104387082437e+00
6.556000000000000000e+09,3.670498497257185022e+00
6.557000000000000000e+09,3.574379897085520952e+00
6.558000000000000000e+09,3.627666208182887431e+00
6.559000000000000000e+09,3.771943329994144278e+00
6.560000000000000000e+09,3.579979705446618254e+00
6.561000000000000000e+09,3.559341843702398478e+00
6.562000000000000000e+09,3.555567890168475742e+00
6.563000000000000000e+09,3.513432471898894960e+00
6.564000000000000000e+09,3.628105944909776781e+00
6.565000000000000000e+09,3.650049749342713312e+00
6.566000000000000000e+09,3.579837419022567246e+00
6.567000000000000000e+09,3.515832585699826041e+00
6.568000000000000000e+09,3.631592309173726107e+00
6.569000000000000000e+09,3.705737351237075927e+00
6.570000000000000000e+09,3.728868911219549886e+00
6.571000000000000000e+09,3.522132726141848025e+00
6.572000000000000000e+09,3.442961526312629417e+00
6.573000000000000000e+09,3.456779790032015853e+00
6.574000000000000000e+09,3.571800131253610289e+00
6.575000000000000000e+09,3.597501051259257565e+00
6.576000000000000000e+09,3.525555691241052614e+00
6.577000000000000000e+09,3.654832300261276146e+00
6.578000000000000000e+09,3.514346159540153280e+00
6.579000000000000000e+09,3.586020182348335084e+00
6.580000000000000000e+09,3.671813013380216262e+00
6.581000000000000000e+09,3.556321607532595408e+00
6.582000000000000000e+09,3.620398961683207517e+00
6.583000000000000000e+09,3.772946434784302028e+00
6.584000000000000000e+09,3.694077873264816958e+00
6.585000000000000000e+09,3.844877000646960141e+00
6.586000000000000000e+09,3.926367623379690031e+00
6.587000000000000000e+09,3.801771490282916943e+00
6.588000000000000000e+09,3.857022654814187490e+00
6.589000000000000000e+09,4.031209412125278391e+00
6.590000000000000000e+09,4.002638836122827115e+00
6.591000000000000000e+09,4.007641937307752755e+00
6.592000000000000000e+09,4.085389884702308905e+00
6.593000000000000000e+09,4.108055476374616433e+00
6.594000000000000000e+09,4.227513344256067285e+00
6.595000000000000000e+09,4.246719978524225780e+00
6.596000000000000000e+09,4.198567581163885620e+00
6.597000000000000000e+09,4.297188613380853894e+00
6.598000000000000000e+09,4.576737541786826569e+00
6.599000000000000000e+09,4.391642825117784810e+00
6.600000000000000000e+09,4.403435956279267316e+00
6.601000000000000000e+09,4.384301263490911538e+00
6.602000000000000000e+09,4.660671449135236344e+00
6.603000000000000000e+09,4.562050521486511911e+00
6.604000000000000000e+09,4.626151556482994920e+00
6.605000000000000000e+09,4.623830371117321647e+00
6.606000000000000000e+09,4.529641460350205762e+00
6.607000000000000000e+09,4.468402886294256859e+00
6.608000000000000000e+09,4.623722114730512089e+00
6.609000000000000000e+09,4.773912091891332921e+00
6.610000000000000000e+09,4.856787261497075292e+00
6.611000000000000000e+09,4.791883160046495505e+00
6.612000000000000000e+09,4.662439208247775468e+00
6.613000000000000000e+09,4.689109377611089258e+00
6.614000000000000000e+09,4.692333581232546180e+00
6.615000000000000000e+09,4.730193677642631656e+00
6.616000000000000000e+09,4.629398732253164894e+00
6.617000000000000000e+09,4.691562105052284437e+00
6.618000000000000000e+09,4.734999310919121740e+00
6.619000000000000000e+09,4.599340621511842642e+00
6.620000000000000000e+09,4.553263052768983243e+00
6.621000000000000000e+09,4.721793482345987059e+00
6.622000000000000000e+09,4.831458434421804782e+00
6.623000000000000000e+09,4.691115574555539069e+00
6.624000000000000000e+09,4.787998956467461653e+00
6.625000000000000000e+09,4.772876038971205048e+00
6.626000000000000000e+09,4.722933934037214954e+00
6.627000000000000000e+09,4.610772971442131052e+00
6.628000000000000000e+09,4.553459675270616458e+00
6.629000000000000000e+09,4.598730899004721095e+00
6.630000000000000000e+09,4.550419395377190313e+00
6.631000000000000000e+09,4.601284357223619281e+00
6.632000000000000000e+09,4.580265564931352174e+00
6.633000000000000000e+09,4.487092956867329008e+00
6.634000000000000000e+09,4.497288385861835991e+00
6.635000000000000000e+09,4.400282165025672043e+00
6.636000000000000000e+09,4.337334119116306397e+00
6.637000000000000000e+09,4.372915481958330020e+00
6.638000000000000000e+09,4.349459050311338615e+00
6.639000000000000000e+09,4.296138021766523707e+00
6.640000000000000000e+09,4.309663340761630934e+00
6.641000000000000000e+09,4.258977570266253565e+00
6.642000000000000000e+09,4.220613493042108644e+00
6.643000000000000000e+09,4.236968233207690560e+00
6.644000000000000000e+09,4.190196345410640788e+00
6.645000000000000000e+09,4.251050162189244475e+00
6.646000000000000000e+09,4.417858861049950292e+00
6.647000000000000000e+09,4.206923280739786719e+00
6.648000000000000000e+09,4.178516409017362321e+00
6.649000000000000000e+09,4.217482044565713295e+00
6.650000000000000000e+09,4.212801974426824358e+00
6.651000000000000000e+09,4.110861859986201239e+00
